Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","288","Ghana","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","235394.66","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","307563","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","10.47","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","15","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","300","Greece","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","56276.24","A","Official figure",""
"TCL","Crops and livestock products","300","Greece","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","156031","A","Official figure",""
"TCL","Crops and livestock products","300","Greece","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","40399.53","A","Official figure",""
"TCL","Crops and livestock products","300","Greece","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","67997","A","Official figure",""
"TCL","Crops and livestock products","308","Grenada","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","6794.23","A","Official figure",""
"TCL","Crops and livestock products","308","Grenada","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","13482","A","Official figure",""
"TCL","Crops and livestock products","308","Grenada","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","76.86","A","Official figure",""
"TCL","Crops and livestock products","308","Grenada","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","155","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","136467.39","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","175825","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","582.32","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","1256","A","Official figure",""
